time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-11-23 17:06:00,97652.67,97539.87,97648.86,88.33,8619324.45,97564.21,direct,
2024-11-23 17:07:00,97567.99,97508.25,97564.21,69.34,6765095.69,97554.73,direct,
2024-11-23 17:08:00,97554.73,97500.02,97554.73,84.94,8286616.74,97517.33,direct,
2024-11-23 17:09:00,97587.97,97516.74,97517.33,44.46,4337450.25,97572.55,direct,
2024-11-23 17:10:00,97606.62,97527.85,97572.55,57.65,5625572.36,97545.49,direct,
2024-11-23 17:11:00,97731.52,97515.12,97545.49,61.3,5985149.15,97725.36,direct,
2024-11-23 17:12:00,97744.42,97661.8,97725.36,39.8,3889825.71,97673.21,direct,
2024-11-23 17:13:00,97752.57,97635.94,97673.21,27.62,2698757.05,97643.09,direct,
2024-11-23 17:14:00,97672.61,97632.84,97643.09,31.05,3031773.79,97653.16,direct,
2024-11-23 17:15:00,97667.01,97623.87,97653.16,17.87,1744766.79,97624.6,direct,
2024-11-23 17:16:00,97665.79,97624.43,97624.6,27.18,2654261.84,97665.78,direct,
2024-11-23 17:17:00,97736.34,97664.1,97665.78,40.33,3939908.22,97685.58,direct,
2024-11-23 17:18:00,97750.14,97685.58,97685.58,25.24,2466142.32,97716.15,direct,
2024-11-23 17:19:00,97801.73,97712.17,97716.15,29.85,2918145.27,97801.73,direct,
2024-11-23 17:20:00,97803.98,97729.86,97801.73,64.43,6298752.49,97757.66,direct,
2024-11-23 17:21:00,97784.67,97739.94,97757.66,30.37,2968975.27,97783.82,direct,
2024-11-23 17:22:00,97862.06,97744.87,97783.82,56.29,5503346.45,97834.6,direct,
2024-11-23 17:23:00,97948.34,97834.6,97834.6,63.76,6243413.61,97940.54,direct,
2024-11-23 17:24:00,98004.57,97935.95,97940.54,43.99,4310045.03,97980.11,direct,
2024-11-23 17:25:00,97980.11,97943.62,97980.11,23.84,2335591.98,97949.57,direct,
2024-11-23 17:26:00,97973.4,97937.12,97949.57,19.9,1949009.45,97968.15,direct,
2024-11-23 17:27:00,97980.15,97947.82,97968.15,22.72,2225952.91,97977.06,direct,
2024-11-23 17:28:00,98110.02,97971.69,97977.06,51.87,5086358.82,98096.18,direct,
2024-11-23 17:29:00,98114.18,98066.42,98096.18,31.03,3043765.51,98083.42,direct,
2024-11-23 17:30:00,98086.19,98045.75,98083.42,34.8,3412760.68,98048.71,direct,
2024-11-23 17:31:00,98064.81,98048.14,98048.71,17.3,1696652.84,98059.74,direct,
2024-11-23 17:32:00,98064.85,98046.2,98059.74,17.79,1743878.86,98053.09,direct,
2024-11-23 17:33:00,98152.03,98050.85,98053.09,31.58,3098260.78,98136.13,direct,
2024-11-23 17:34:00,98151.41,98102.64,98136.13,21.4,2099409.28,98106.3,direct,
2024-11-23 17:35:00,98140.53,98087.33,98106.3,26.32,2582852.87,98138.43,direct,
2024-11-23 17:36:00,98198.01,98137.33,98138.43,26.74,2625526.22,98166.65,direct,
2024-11-23 17:37:00,98174.17,98132.97,98166.65,24.96,2449547.28,98132.97,direct,
2024-11-23 17:38:00,98176.92,98120.38,98132.97,15.09,1481404.38,98176.92,direct,
2024-11-23 17:39:00,98223.2,98176.3,98176.92,32.33,3174482.05,98199.06,direct,
2024-11-23 17:40:00,98212.9,98138.33,98199.06,34.8,3416659.67,98206.46,direct,
2024-11-23 17:41:00,98237.68,98194.93,98206.46,19.32,1897255.36,98218.48,direct,
2024-11-23 17:42:00,98231.66,98196.28,98218.48,29.56,2903065.0,98207.33,direct,
2024-11-23 17:43:00,98211.33,98163.94,98207.33,13.74,1348824.45,98167.29,direct,
2024-11-23 17:44:00,98241.49,98167.24,98167.29,23.02,2260333.95,98235.24,direct,
2024-11-23 17:45:00,98236.07,98174.64,98235.24,13.86,1360552.05,98183.42,direct,
2024-11-23 17:46:00,98183.42,98123.08,98183.42,19.95,1957001.11,98133.95,direct,
2024-11-23 17:47:00,98135.85,98129.79,98133.95,3.904,382755.44,98131.68,direct,
2024-11-23 17:48:00,98141.81,98112.71,98131.68,7.323,718235.65,98116.92,direct,
2024-11-23 17:49:00,98177.96,98112.54,98116.92,23.51,2306849.09,98175.64,direct,
2024-11-23 17:50:00,98177.58,98121.06,98175.64,21.16,2076304.02,98136.87,direct,
2024-11-23 17:51:00,98141.14,98127.4,98136.87,11.85,1162289.89,98134.36,direct,
2024-11-23 17:52:00,98134.36,97998.94,98134.36,23.89,2342792.49,98006.49,direct,
2024-11-23 17:53:00,98026.09,97990.94,98006.49,22.36,2191392.12,97998.48,direct,
2024-11-23 17:54:00,98011.88,97989.46,97998.48,21.0,2057525.41,98005.54,direct,
2024-11-23 17:55:00,98059.28,97992.51,98005.54,15.15,1484782.28,98049.61,direct,
2024-11-23 17:56:00,98056.02,98005.95,98049.61,8.34,817327.02,98056.02,direct,
2024-11-23 17:57:00,98071.58,98047.22,98056.02,8.794,862052.28,98059.03,direct,
2024-11-23 17:58:00,98091.39,98053.5,98059.03,12.42,1217411.88,98077.79,direct,
2024-11-23 17:59:00,98079.06,98069.04,98077.79,4.685,458994.14,98072.12,direct,
2024-11-23 18:00:00,98072.12,97954.92,98072.12,26.1,2558237.9,97966.51,direct,
2024-11-23 18:01:00,97966.51,97877.45,97966.51,23.2,2269923.9,97917.02,direct,
2024-11-23 18:02:00,97948.96,97890.31,97917.02,26.85,2627719.58,97913.85,direct,
2024-11-23 18:03:00,97913.85,97822.49,97913.85,60.07,5872091.27,97836.64,direct,
2024-11-23 18:04:00,97864.02,97829.93,97836.64,17.4,1701972.76,97840.16,direct,
2024-11-23 18:05:00,97890.73,97818.69,97840.16,25.54,2499674.12,97885.84,direct,
2024-11-23 18:06:00,97949.59,97869.41,97885.84,17.01,1666024.16,97940.07,direct,
2024-11-23 18:07:00,97980.82,97892.84,97940.07,29.51,2889981.59,97928.51,direct,
2024-11-23 18:08:00,97951.47,97894.96,97928.51,22.06,2160125.71,97946.03,direct,
2024-11-23 18:09:00,97975.4,97914.99,97946.03,18.19,1781893.78,97960.85,direct,
2024-11-23 18:10:00,97999.35,97956.67,97960.85,18.76,1838054.68,97988.71,direct,
2024-11-23 18:11:00,98111.52,97988.71,97988.71,28.75,2819119.22,98111.52,direct,
2024-11-23 18:12:00,98132.51,98077.35,98111.52,31.59,3099274.98,98077.58,direct,
2024-11-23 18:13:00,98152.45,98074.92,98077.58,44.95,4410580.2,98085.87,direct,
2024-11-23 18:14:00,98103.48,98053.88,98085.87,15.7,1539920.61,98061.62,direct,
2024-11-23 18:15:00,98081.61,98014.69,98061.62,24.34,2386262.04,98014.69,direct,
2024-11-23 18:16:00,98039.72,97975.04,98014.69,18.94,1856102.25,97986.11,direct,
2024-11-23 18:17:00,98016.65,97957.05,97986.11,21.23,2079735.17,97963.01,direct,
2024-11-23 18:18:00,97996.35,97957.3,97963.01,14.43,1413263.79,97978.32,direct,
2024-11-23 18:19:00,97981.76,97934.17,97978.32,18.77,1838476.77,97935.06,direct,
2024-11-23 18:20:00,97964.23,97893.01,97935.06,15.35,1503204.6,97945.47,direct,
2024-11-23 18:21:00,97958.8,97907.87,97945.47,16.5,1615524.1,97957.67,direct,
2024-11-23 18:22:00,97957.67,97900.84,97957.67,12.1,1184407.84,97904.58,direct,
2024-11-23 18:23:00,97921.27,97836.31,97904.58,17.27,1690281.72,97836.33,direct,
2024-11-23 18:24:00,97891.53,97833.4,97836.33,21.52,2105884.97,97880.29,direct,
2024-11-23 18:25:00,97894.31,97854.62,97880.29,16.81,1644953.19,97875.02,direct,
2024-11-23 18:26:00,97911.02,97860.1,97875.02,18.73,1832979.09,97911.02,direct,
2024-11-23 18:27:00,97950.52,97894.46,97911.02,10.52,1029654.83,97946.31,direct,
2024-11-23 18:28:00,97946.31,97915.44,97946.31,11.54,1130003.42,97924.45,direct,
2024-11-23 18:29:00,97950.62,97913.8,97924.45,11.7,1145080.83,97938.84,direct,
2024-11-23 18:30:00,97938.84,97864.11,97938.84,13.84,1354024.62,97869.29,direct,
2024-11-23 18:31:00,97869.35,97813.48,97869.29,20.08,1963128.83,97836.02,direct,
2024-11-23 18:32:00,97838.13,97815.68,97836.02,19.54,1910594.29,97825.34,direct,
2024-11-23 18:33:00,97844.34,97820.89,97825.34,17.63,1724847.93,97822.38,direct,
2024-11-23 18:34:00,97851.93,97815.33,97822.38,16.29,1593517.3,97851.93,direct,
2024-11-23 18:35:00,97858.34,97822.15,97851.93,13.16,1287921.77,97853.11,direct,
2024-11-23 18:36:00,97882.98,97853.11,97853.11,10.89,1065553.61,97877.22,direct,
2024-11-23 18:37:00,97900.02,97874.73,97877.22,12.4,1213627.2,97881.52,direct,
2024-11-23 18:38:00,97905.38,97881.52,97881.52,9.284,908670.39,97904.75,direct,
2024-11-23 18:39:00,97905.38,97877.51,97904.75,10.77,1054427.74,97887.51,direct,
2024-11-23 18:40:00,97902.48,97867.51,97887.51,18.47,1807565.5,97893.53,direct,
2024-11-23 18:41:00,97910.56,97892.05,97893.53,10.85,1061876.05,97905.66,direct,
2024-11-23 18:42:00,97909.09,97864.46,97905.66,15.4,1507284.35,97864.46,direct,
2024-11-23 18:43:00,97865.42,97845.7,97864.46,11.41,1115972.94,97857.88,direct,
2024-11-23 18:44:00,97858.08,97834.55,97857.88,8.694,850403.46,97834.55,direct,
2024-11-23 18:45:00,97869.61,97834.55,97834.55,13.73,1343594.57,97860.44,direct,
